,Design Option,Category,Family,Type,Additional Offset,Layout Rule,Host Category,Family and Type,Summary,Type Id,Alternating Bar - End Hook Orientation,Alternating Bar - End Hook Type,Alternating Bar - Hook Orientation,Alternating Bar - Length,Alternating Bar - Offset,Alternating Bar - Start Hook Type,Alternating Bar - Type,Alternating Bars,Bar Spacing,Face,Number Of Bars,Primary Bar - End Hook Orientation,Primary Bar - End Hook Type,Primary Bar - Hook Orientation,Primary Bar - Length,Primary Bar - Start Hook Type,Primary Bar - Type,Phase Created,Phase Demolished,Reinforcement Volume,Type Name,Family Name,Additional Exterior Cover Offset,Additional Interior Cover Offset,Bottom/Interior Major,Bottom/Interior Major (Brief),Bottom/Interior Minor,Bottom/Interior Minor (Brief),Layer Summary,Layer Summary (Brief),"Major, Both Faces","Major, Both Faces (Brief)","Minor, Both Faces","Minor, Both Faces (Brief)",Top/Exterior Major,Top/Exterior Major (Brief),Top/Exterior Minor,Top/Exterior Minor (Brief),Bottom Major and Minor Layers Match,Bottom/Interior Major Bar Type,Bottom/Interior Major Direction,Bottom/Interior Major Number Of Lines,Bottom/Interior Major Spacing,Bottom/Interior Minor Bar Type,Bottom/Interior Minor Direction,Bottom/Interior Minor Number Of Lines,Bottom/Interior Minor Spacing,Exterior Major Bar Type,Exterior Major Direction,Exterior Major Hook Orientation,Exterior Major Hook Type,Exterior Major Number Of Lines,Exterior Major Spacing,Exterior Minor Bar Type,Exterior Minor Direction,Exterior Minor Hook Orientation,Exterior Minor Hook Type,Exterior Minor Number Of Lines,Exterior Minor Spacing,Interior Major Bar Type,Interior Major Direction,Interior Major Hook Orientation,Interior Major Hook Type,Interior Major Number Of Lines,Interior Major Spacing,Interior Minor Bar Type,Interior Minor Direction,Interior Minor Hook Orientation,Interior Minor Hook Type,Interior Minor Number Of Lines,Interior Minor Spacing,Top Major and Minor Layers Match,Top and Bottom Major Layers Match,Top and Bottom Minor Layers Match,Top/Exterior Major Bar Type,Top/Exterior Major Direction,Top/Exterior Major Number Of Lines,Top/Exterior Major Spacing,Top/Exterior Minor Bar Type,Top/Exterior Minor Direction,Top/Exterior Minor Number Of Lines,Top/Exterior Minor Spacing,Bend Diameter,End Treatment At End,End Treatment At Start,Geometry,Hook At End,Hook At Start,Hook Rotation At End,Hook Rotation At Start,Override Hook Lengths,Rebar Number,Schedule Mark,Shape,Shape Image,Style,A,B,Bar Diameter,Bar Length,C,D,E,F,G,H,J,K,Maximum bar length,Minimum bar length,O,R,Standard Bend Diameter,Total Bar Length,Distribution Type,Quantity,Quantity By Rebar Set,Estimated Reinforcement Volume,Deformation,Maximum Bend Radius,Standard Hook Bend Diameter,Stirrup/Tie Bend Diameter,Subcategory,Material,Stirrup/Tie Attachment,Host Mark,Spacing,Length,Level,Work Plane,Volume,b,d,Host Id,Stiffener Material,End Level Offset,Reference Level,Start Level Offset,Non Bearing Offset,Span,Truss Height,Tag new members in view,ActualPanelWidth,MaxPanelWidth,NumberPanels,Bearing Chord,Bearing Vertical Justification,Create Bottom Chord,Create Top Chord,Rotate Chords With Truss,Rotation Angle,Stick Symbol Location,Analytical Vertical Projection,Angle,End Release,Start Release,Structural Framing Type,Web Orientation,Webs have symbolic cutback,Base Level,Base Offset,Column Location Mark,Column Style,Moves With Grids,Top Level,Top Offset,Structural Material,Base Connection,Enable Analytical Model,Top Connection,Code Name,Section Name Key,Section Shape,Elastic Modulus strong axis,Elastic Modulus weak axis,Moment of Inertia strong axis,Moment of Inertia weak axis,Nominal Weight,Plastic Modulus strong axis,Plastic Modulus weak axis,Section Area,Torsional Moment of Inertia,Warping Constant,Centroid Horizontal,Centroid Vertical,Flange Thickness,Height,Web Fillet,Web Thickness,Width,Room Bounding,Rebar Cover - Other Faces,Rebar Cover - Bottom Face,Rebar Cover - Top Face,Cross-Section Rotation,Orientation,Reference Level Elevation,Elevation at Bottom,Elevation at Top,End Extension,Join Status,Start Extension,y Justification,y Offset Value,yz Justification,z Justification,z Offset Value,Cut Length,End Connection,Start Connection,Structural Usage,Camber Size,Number of studs,Mark,REBAR,Top Bars,h,Cost,Type Mark,End Reaction - Live,Wall Design Thickness,OmniClass Number,OmniClass Title,Perimeter,Torsional Modulus,Diameter,Wall Nominal Thickness,Height Offset From Level,Host,Area,Elevation at Bottom Survey,Elevation at Top Survey,Pile Type,Clearance,Cut-off,Thickness,Assembly Code,Assembly Description,Base Constraint,Top Constraint,Unconnected Height,Related to Mass,Core Thickness,Elevation at Bottom Core,Elevation at Top Core,Span Direction,Structural,Absorptance,Roughness,Default Thickness,Function,Coarse Scale Fill Color,Coarse Scale Fill Pattern,Display in Hidden Views,Base Extension Distance,Base is Attached,Location Line,Top Extension Distance,Top is Attached,Rebar Cover - Exterior Face,Rebar Cover - Interior Face,Wrapping at Ends,Wrapping at Inserts
151987,None,OST_StructuralColumns,450mm,450mm,,,,450mm,,450mm,,,,,,,,,,,,,,,,,,New Construction,None,,450mm,M_Concrete-Round-Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,03 - Floor,,0.54 m³,450,,None,,,,,,,,,,,,,,,,,,,,,,,,,,03 - Floor,0,1.1-C,0,Yes,Roof,0,70010,,Yes,,,,0,,,,,,,,,,,,,,,,,,Yes,"Interior (framing, columns)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151988,None,OST_StructuralColumns,450mm,450mm,,,,450mm,,450mm,,,,,,,,,,,,,,,,,,New Construction,None,,450mm,M_Concrete-Round-Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,03 - Floor,,0.54 m³,450,,None,,,,,,,,,,,,,,,,,,,,,,,,,,03 - Floor,0,1.1-D,0,Yes,Roof,0,70010,,Yes,,,,0,,,,,,,,,,,,,,,,,,Yes,"Interior (framing, columns)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151989,None,OST_StructuralColumns,450mm,450mm,,,,450mm,,450mm,,,,,,,,,,,,,,,,,,New Construction,None,,450mm,M_Concrete-Round-Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,03 - Floor,,0.54 m³,450,,None,,,,,,,,,,,,,,,,,,,,,,,,,,03 - Floor,0,1.1-E,0,Yes,Roof,0,70010,,Yes,,,,0,,,,,,,,,,,,,,,,,,Yes,"Interior (framing, columns)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151990,None,OST_StructuralColumns,450mm,450mm,,,,450mm,,450mm,,,,,,,,,,,,,,,,,,New Construction,None,,450mm,M_Concrete-Round-Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,03 - Floor,,0.54 m³,450,,None,,,,,,,,,,,,,,,,,,,,,,,,,,03 - Floor,0,1.1-F,0,Yes,Roof,0,70010,,Yes,,,,0,,,,,,,,,,,,,,,,,,Yes,"Interior (framing, columns)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151991,None,OST_StructuralColumns,450mm,450mm,,,,450mm,,450mm,,,,,,,,,,,,,,,,,,New Construction,None,,450mm,M_Concrete-Round-Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,03 - Floor,,0.54 m³,450,,None,,,,,,,,,,,,,,,,,,,,,,,,,,03 - Floor,0,1.1-G,0,Yes,Roof,0,70010,,Yes,,,,0,,,,,,,,,,,,,,,,,,Yes,"Interior (framing, columns)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151992,None,OST_StructuralColumns,450mm,450mm,,,,450mm,,450mm,,,,,,,,,,,,,,,,,,New Construction,None,,450mm,M_Concrete-Round-Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,03 - Floor,,0.54 m³,450,,None,,,,,,,,,,,,,,,,,,,,,,,,,,03 - Floor,0,1.1-H,0,Yes,Roof,0,70010,,Yes,,,,0,,,,,,,,,,,,,,,,,,Yes,"Interior (framing, columns)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151993,None,OST_StructuralColumns,450mm,450mm,,,,450mm,,450mm,,,,,,,,,,,,,,,,,,New Construction,None,,450mm,M_Concrete-Round-Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,03 - Floor,,0.54 m³,450,,None,,,,,,,,,,,,,,,,,,,,,,,,,,03 - Floor,0,1.1-I,0,Yes,Roof,0,70010,,Yes,,,,0,,,,,,,,,,,,,,,,,,Yes,"Interior (framing, columns)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151994,None,OST_StructuralColumns,450mm,450mm,,,,450mm,,450mm,,,,,,,,,,,,,,,,,,New Construction,None,,450mm,M_Concrete-Round-Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,03 - Floor,,0.54 m³,450,,None,,,,,,,,,,,,,,,,,,,,,,,,,,03 - Floor,0,1.1-J,0,Yes,Roof,0,70010,,Yes,,,,0,,,,,,,,,,,,,,,,,,Yes,"Interior (framing, columns)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151995,None,OST_StructuralColumns,450mm,450mm,,,,450mm,,450mm,,,,,,,,,,,,,,,,,,New Construction,None,,450mm,M_Concrete-Round-Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,03 - Floor,,0.54 m³,450,,None,,,,,,,,,,,,,,,,,,,,,,,,,,03 - Floor,0,F.1-1.1,0,Yes,Roof,0,70010,,Yes,,,,0,,,,,,,,,,,,,,,,,,Yes,"Interior (framing, columns)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151996,None,OST_StructuralColumns,450mm,450mm,,,,450mm,,450mm,,,,,,,,,,,,,,,,,,New Construction,None,,450mm,M_Concrete-Round-Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,03 - Floor,,0.54 m³,450,,None,,,,,,,,,,,,,,,,,,,,,,,,,,03 - Floor,0,D.1-1.1,0,Yes,Roof,0,70010,,Yes,,,,0,,,,,,,,,,,,,,,,,,Yes,"Interior (framing, columns)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152179,None,OST_StructuralColumns,450mm,450mm,,,,450mm,,450mm,,,,,,,,,,,,,,,,,,New Construction,None,,450mm,M_Concrete-Round-Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,03 - Floor,,0.54 m³,450,,None,,,,,,,,,,,,,,,,,,,,,,,,,,03 - Floor,0,J-2,0,Yes,Roof,0,70010,,Yes,,,,0,,,,,,,,,,,,,,,,,,Yes,"Interior (framing, columns)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153219,None,OST_StructuralColumns,750mm,750mm,,,,750mm,,750mm,,,,,,,,,,,,,,,,,,New Construction,None,,750mm,M_Concrete-Round-Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,01 - Entry Level,,1.10 m³,750,,None,,,,,,,,,,,,,,,,,,,,,,,,,,01 - Entry Level,-2500,B.1-.5,0,Yes,01 - Entry Level,0,70010,,Yes,,,,0,,,,,,,,,,,,,,,,,,Yes,"Interior (framing, columns)","Interior (framing, columns)","Interior (framing, columns)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153265,None,OST_StructuralColumns,750mm,750mm,,,,750mm,,750mm,,,,,,,,,,,,,,,,,,New Construction,None,,750mm,M_Concrete-Round-Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,01 - Entry Level,,1.10 m³,750,,None,,,,,,,,,,,,,,,,,,,,,,,,,,01 - Entry Level,-2500,B.1-.75,0,Yes,01 - Entry Level,0,70010,,Yes,,,,0,,,,,,,,,,,,,,,,,,Yes,"Interior (framing, columns)","Interior (framing, columns)","Interior (framing, columns)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153322,None,OST_StructuralColumns,750mm,750mm,,,,750mm,,750mm,,,,,,,,,,,,,,,,,,New Construction,None,,750mm,M_Concrete-Round-Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,01 - Entry Level,,1.10 m³,750,,None,,,,,,,,,,,,,,,,,,,,,,,,,,01 - Entry Level,-2500,.75-C,0,Yes,01 - Entry Level,0,70010,,Yes,,,,0,,,,,,,,,,,,,,,,,,Yes,"Interior (framing, columns)","Interior (framing, columns)","Interior (framing, columns)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153369,None,OST_StructuralColumns,750mm,750mm,,,,750mm,,750mm,,,,,,,,,,,,,,,,,,New Construction,None,,750mm,M_Concrete-Round-Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,01 - Entry Level,,1.10 m³,750,,None,,,,,,,,,,,,,,,,,,,,,,,,,,01 - Entry Level,-2500,.75-D.1,0,Yes,01 - Entry Level,0,70010,,Yes,,,,0,,,,,,,,,,,,,,,,,,Yes,"Interior (framing, columns)","Interior (framing, columns)","Interior (framing, columns)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153422,None,OST_StructuralColumns,750mm,750mm,,,,750mm,,750mm,,,,,,,,,,,,,,,,,,New Construction,None,,750mm,M_Concrete-Round-Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,01 - Entry Level,,1.10 m³,750,,None,,,,,,,,,,,,,,,,,,,,,,,,,,01 - Entry Level,-2500,.75-E,0,Yes,01 - Entry Level,0,70010,,Yes,,,,0,,,,,,,,,,,,,,,,,,Yes,"Interior (framing, columns)","Interior (framing, columns)","Interior (framing, columns)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153475,None,OST_StructuralColumns,750mm,750mm,,,,750mm,,750mm,,,,,,,,,,,,,,,,,,New Construction,None,,750mm,M_Concrete-Round-Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,01 - Entry Level,,1.10 m³,750,,None,,,,,,,,,,,,,,,,,,,,,,,,,,01 - Entry Level,-2500,.5-E,0,Yes,01 - Entry Level,0,70010,,Yes,,,,0,,,,,,,,,,,,,,,,,,Yes,"Interior (framing, columns)","Interior (framing, columns)","Interior (framing, columns)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153524,None,OST_StructuralColumns,750mm,750mm,,,,750mm,,750mm,,,,,,,,,,,,,,,,,,New Construction,None,,750mm,M_Concrete-Round-Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,01 - Entry Level,,1.10 m³,750,,None,,,,,,,,,,,,,,,,,,,,,,,,,,01 - Entry Level,-2500,.5-D.1,0,Yes,01 - Entry Level,0,70010,,Yes,,,,0,,,,,,,,,,,,,,,,,,Yes,"Interior (framing, columns)","Interior (framing, columns)","Interior (framing, columns)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127478,None,OST_StructuralFramingSystem,Structural Framing System,Structural Framing System,,,,Structural Framing System,,Structural Framing System,,,,,,,,,,,,,,,,,,New Construction,None,,Structural Framing System,Structural Beam System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127506,None,OST_StructuralFramingSystem,Structural Framing System,Structural Framing System,,,,Structural Framing System,,Structural Framing System,,,,,,,,,,,,,,,,,,New Construction,None,,Structural Framing System,Structural Beam System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127575,None,OST_StructuralFramingSystem,Structural Framing System,Structural Framing System,,,,Structural Framing System,,Structural Framing System,,,,,,,,,,,,,,,,,,New Construction,None,,Structural Framing System,Structural Beam System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127639,None,OST_StructuralFramingSystem,Structural Framing System,Structural Framing System,,,,Structural Framing System,,Structural Framing System,,,,,,,,,,,,,,,,,,New Construction,None,,Structural Framing System,Structural Beam System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128103,None,OST_StructuralFramingSystem,Structural Framing System,Structural Framing System,,,,Structural Framing System,,Structural Framing System,,,,,,,,,,,,,,,,,,New Construction,None,,Structural Framing System,Structural Beam System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151797,None,OST_StructuralFramingSystem,Structural Framing System,Structural Framing System,,,,Structural Framing System,,Structural Framing System,,,,,,,,,,,,,,,,,,New Construction,None,,Structural Framing System,Structural Beam System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151807,None,OST_StructuralFramingSystem,Structural Framing System,Structural Framing System,,,,Structural Framing System,,Structural Framing System,,,,,,,,,,,,,,,,,,New Construction,None,,Structural Framing System,Structural Beam System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151819,None,OST_StructuralFramingSystem,Structural Framing System,Structural Framing System,,,,Structural Framing System,,Structural Framing System,,,,,,,,,,,,,,,,,,New Construction,None,,Structural Framing System,Structural Beam System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151829,None,OST_StructuralFramingSystem,Structural Framing System,Structural Framing System,,,,Structural Framing System,,Structural Framing System,,,,,,,,,,,,,,,,,,New Construction,None,,Structural Framing System,Structural Beam System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152105,None,OST_StructuralFramingSystem,Structural Framing System,Structural Framing System,,,,Structural Framing System,,Structural Framing System,,,,,,,,,,,,,,,,,,New Construction,None,,Structural Framing System,Structural Beam System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152115,None,OST_StructuralFramingSystem,Structural Framing System,Structural Framing System,,,,Structural Framing System,,Structural Framing System,,,,,,,,,,,,,,,,,,New Construction,None,,Structural Framing System,Structural Beam System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152127,None,OST_StructuralFramingSystem,Structural Framing System,Structural Framing System,,,,Structural Framing System,,Structural Framing System,,,,,,,,,,,,,,,,,,New Construction,None,,Structural Framing System,Structural Beam System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152137,None,OST_StructuralFramingSystem,Structural Framing System,Structural Framing System,,,,Structural Framing System,,Structural Framing System,,,,,,,,,,,,,,,,,,New Construction,None,,Structural Framing System,Structural Beam System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
